Streamer,Viewers*,Community ID
qq7925168,20626,19
Berlinotv,20611,32
takesipon,20594,19
TheExaL04,20587,12
ChutyVks,20531,12
FarhadXRay,20503,49
JOliveira10,20503,58
PlayHearthstone,20425,23
xPandorya,20332,35
PatoPapao,20329,74
iGeStarK,20308,12
TheRunningManZ,20285,18
sunbaking,20266,0
Adekvat,20213,43
dakchyo,20205,0
nayte,20192,36
Ivan_Grieco,20129,32
LightFuryLF,20122,24
GarridoFN,20084,12
Bawkbasoup,20064,3
LakshartNia,20010,12
Ayrun,19973,47
SirhcEz,19953,10
kanetv8,19936,0
VeRsuta,19908,43
Agustabell212,19812,12
